title,company,location,salary,skills
Network Technician,W.R. Berkley,Antananarivo,$61K-$94K,Network troubleshooting IT support Network configuration Technical knowledge Problem-solving
Copywriter,Avery Dennison,Juba,$64K-$126K,Creative writing Copywriting Advertising copy Content creation Brand storytelling Marketing campaigns Proofreading and editing
Human Resources Manager,Oil Search,Montevideo,$64K-$111K,HR policies and procedures Employee relations Recruitment Communication skills
Sales Representative,Exelon,Maseru,$58K-$84K,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building"
Front-End Developer,Alcoa,AsunciÃ³n,$63K-$80K,"User interface (UI) design User experience (UX) design Web design principles Prototyping and wireframing Front-end development languages (e.g., HTML, CSS, JavaScript) Interaction design User testing Responsive design Usability testing Collaboration Attention to detail"
Financial Advisor,Intel,Chisinau,$57K-$104K,Wealth management strategies Asset allocation Estate planning Tax management Client relationship management
Financial Advisor,Raymond James Financial,Minsk,$56K-$119K,Retirement planning Social security Investment products Tax planning Estate planning
HR Manager,General Motors,Saint John's,$56K-$109K,Strategic HR planning Employee relations Talent management HR policy development Leadership skills
Marketing Manager,Walt Disney,SÃ£o TomÃ©,$61K-$107K,Brand strategy development Brand identity and design Brand storytelling Marketing campaigns Brand performance measurement Creative thinking Strong communication skills
Brand Ambassador,UGI,Bangkok,$60K-$101K,Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge
Paralegal,Avast,Tegucigalpa,$65K-$95K,Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills
Account Manager,Equitable Holdings,Jerusalem,$56K-$99K,Client relationship management Customer service Communication skills
Art Director,Alcoa,Bamako,$56K-$93K,Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation
UX/UI Designer,Go-Ahead Group,Madrid,$61K-$121K,"User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows"
Data Entry Clerk,Lowe's,Ashgabat,$58K-$98K,Records management Data entry and retrieval Attention to detail
Sales Consultant,Albemarle,San Marino,$59K-$83K,B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research
Marketing Analyst,Arrow Electronics,San Salvador,$63K-$97K,"Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen"
Financial Analyst,Performance Food Group,Tripoli,$64K-$102K,Financial analysis Investment evaluation Portfolio management Data analysis
Nurse Manager,Thor Industries,Yaren District (de facto),$63K-$80K,Nursing education Curriculum development Clinical instruction Assessment and evaluation Educational technology Communication skills
QA Engineer,Aflac,Bissau,$60K-$114K,Quality assurance Process improvement Team leadership Problem-solving Quality control
Civil Engineer,Unum Group,Paramaribo,$65K-$95K,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment"
Project Manager,W.W. Grainger,Riga,$63K-$106K,Project management Team leadership Risk management Budgeting Communication skills
Financial Advisor,Asbury Automotive Group,Belmopan,$61K-$83K,Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance
Graphic Designer,Casey's General Stores,Tegucigalpa,$65K-$119K,"Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge"
Software Tester,EnLink Midstream,Yaounde,$64K-$94K,"Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification"
Web Designer,Mphasis,Ashgabat,$59K-$100K,"E-commerce web design UX/UI design Shopping cart integration Payment gateway integration Mobile responsiveness E-commerce platforms (e.g., Shopify)"
Network Engineer,Constellation Energy,AsunciÃ³n,$57K-$119K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Data Engineer,Clorox Company,Nuku?alofa,$57K-$113K,Data architecture design Database management systems Data modeling
Network Technician,Rolls-Royce Holdings,AsunciÃ³n,$61K-$117K,Network troubleshooting IT support Network configuration Technical knowledge Problem-solving
Procurement Manager,Adani Green Energy,Doha,$62K-$119K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Tax Consultant,United Breweries (UB),ReykjavÃ­k,$59K-$90K,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency
Systems Administrator,Cleveland-Cliffs,Porto-Novo,$58K-$83K,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
Art Teacher,Norwegian Cruise Line Holdings Ltd.,Libreville,$60K-$113K,Art instruction Classroom management Art techniques Lesson planning Student assessment
Electrical Designer,Tata Steel,Bucharest,$58K-$83K,PCB design Electronics PCB layout software proficiency Circuit design Quality control
Psychologist,Discover Financial Services,Abuja,$57K-$109K,School psychology Special education knowledge Assessment and testing Individualized education plans Collaboration skills
Pharmaceutical Sales Representative,Shriram Transport Finance Company,Pretoria,$58K-$86K,Medical product knowledge Understanding of healthcare regulations Relationship building with healthcare professionals Sales forecasting and planning Medical sales techniques
Quality Assurance Analyst,Havells India,Kabul,$62K-$84K,"Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing"
Content Writer,Rightmove,Jakarta,$62K-$125K,Technical documentation Technical knowledge Writing skills Editing User manuals
Software Tester,Exxon Mobil Corporation,Ngerulmud,$59K-$86K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
Network Technician,Apollo Global Management,Jakarta,$56K-$103K,Network security Cybersecurity Intrusion detection Security analysis Firewall management
Procurement Manager,InterContinental Hotels Group,Baku,$62K-$91K,Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles
Brand Manager,Petronet LNG,Muscat,$64K-$84K,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting
Investment Banker,EnLink Midstream,Berlin,$64K-$101K,Financial analysis Data analysis Financial modeling
Speech Therapist,Weyerhaeuser,Berlin,$64K-$129K,Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills
Registered Nurse,Merck,Madrid,$59K-$88K,Nursing care Patient assessment Medical knowledge
UX/UI Designer,General Dynamics,Niamey,$62K-$82K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
Family Lawyer,Caterpillar,Hanoi,$55K-$95K,Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation
Customer Service Manager,Whitbread plc,Sri Jayawardenepura Kotte,$61K-$100K,Customer experience strategy Customer journey mapping Feedback analysis User research Metrics and KPIs Communication skills
Software Engineer,Grafton Group,Hanoi,$59K-$100K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Customer Service Representative,"Facebook, Inc. (now Meta Platforms, Inc.)",Moscow,$64K-$112K,Live chat support Online customer communication Problem resolution
Mechanical Designer,Asian Paints,Noumea,$56K-$87K,"Product design principles Prototyping and wireframing User research User testing UI/UX design 3D modeling (if applicable) Collaboration Problem-solving Creativity Attention to detail Communication skills Software proficiency (e.g., Sketch, Adobe XD)"
